hour,heat_demand_mw,price_eur_per_mwh,p_ch_mw,p_dis_mw,level_mwh,elec_to_heater_mw,heater_heat_mw,boiler_heat_mw,unmet_heat_mw,electricity_cost_eur,fuel_cost_eur,carbon_cost_eur,penalty_cost_eur,emissions_tco2,heat_balance_residual_mw
0,10.0,67.09912723302999,0.0,4.849999999999998,13.28331768458934,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
1,10.0,59.33947568354349,0.0,4.849999999999998,8.171412867852311,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
2,10.0,56.73163712465339,0.0,4.849999999999998,3.06206400352365,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
3,10.0,48.024500585765196,0.0,2.892148020402194,0.0161666342564214,7.179648464240207,7.107851979597806,0.0,0.0,344.79903187649205,0.0,0.0,0.0,0.0,0.0
4,10.0,39.64398360453076,4.85,0.0,4.623658550939292,15.0,14.85,0.0,0.0,594.6597540679614,0.0,0.0,0.0,0.0,0.0
5,10.0,40.157340179936455,4.849999999999998,0.0,9.228846721663821,14.999999999999998,14.849999999999998,0.0,0.0,602.3601026990467,0.0,0.0,0.0,0.0,0.0
6,10.0,42.37185456842398,4.849999999999998,0.0,13.831732298302988,14.999999999999998,14.849999999999998,0.0,0.0,635.5778185263596,0.0,0.0,0.0,0.0,0.0
7,10.0,39.73540481564621,4.85,0.0,18.432316432153836,15.0,14.85,0.0,0.0,596.0310722346932,0.0,0.0,0.0,0.0,0.0
8,10.0,32.33317816373833,4.85,0.0,23.030600273937758,15.0,14.85,0.0,0.0,484.99767245607495,0.0,0.0,0.0,0.0,0.0
9,10.0,32.02225755015877,4.85,0.0,27.62658497380079,15.0,14.85,0.0,0.0,480.33386325238155,0.0,0.0,0.0,0.0,0.0
10,10.0,39.20595815764955,4.849999999999998,0.0,32.22027168131389,14.999999999999998,14.849999999999998,0.0,0.0,588.0893723647431,0.0,0.0,0.0,0.0,0.0
11,10.0,47.70662989673622,0.0,0.0,32.204161545473234,10.1010101010101,10.0,0.0,0.0,481.88515047208296,0.0,0.0,0.0,0.0,0.0
12,10.0,41.90436999924281,4.849999999999998,0.0,36.795559464700496,14.999999999999998,14.849999999999998,0.0,0.0,628.565549988642,0.0,0.0,0.0,0.0,0.0
13,10.0,58.906041680337275,0.0,4.849999999999998,31.671898527073417,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
14,10.0,60.24092139129769,0.0,4.849999999999998,26.550799419915144,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
15,10.0,68.83866322648274,0.0,4.849999999999998,21.43226086231045,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
16,10.0,74.95637461537714,0.0,4.849999999999998,16.31628157398456,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
17,10.0,80.0691343127652,0.0,4.849999999999998,11.202860275302834,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
18,10.0,86.20629833909737,0.0,4.849999999999998,6.091995687270449,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
19,10.0,90.2125668472134,0.0,4.849999999999998,0.9836865315320802,0.0,0.0,5.150000000000002,0.0,0.0,206.00000000000009,83.22400000000003,0.0,1.0403000000000004,0.0
20,10.0,83.50547234250654,0.0,0.9340349538529985,0.0,0.0,0.0,9.065965046147001,0.0,0.0,362.63860184588003,146.50599514573554,0.0,1.8313249393216944,0.0
21,10.0,88.48295244735941,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
