hour,heat_demand_mw,price_eur_per_mwh,p_ch_mw,p_dis_mw,level_mwh,elec_to_heater_mw,heater_heat_mw,boiler_heat_mw,unmet_heat_mw,electricity_cost_eur,fuel_cost_eur,carbon_cost_eur,penalty_cost_eur,emissions_tco2,heat_balance_residual_mw
0,10.0,67.09912723302999,0.0,7.417831956699598,19.657720563332784,0.0,0.0,2.5821680433004017,0.0,0.0,103.28672173201608,41.727835579734496,0.0,0.5215979447466812,0.0
1,10.0,59.33947568354349,0.0,7.417831956699598,11.829818677822505,0.0,0.0,2.5821680433004017,0.0,0.0,103.28672173201608,41.727835579734496,0.0,0.5215979447466812,0.0
2,10.0,56.73163712465339,0.0,7.417831956699598,4.009744694197737,0.0,0.0,2.5821680433004017,0.0,0.0,103.28672173201608,41.727835579734496,0.0,0.5215979447466812,0.0
3,10.0,48.024500585765196,4.85,0.0,8.61323494950354,15.0,14.85,0.0,0.0,720.367508786478,0.0,0.0,0.0,0.0,0.0
4,10.0,39.64398360453076,4.85,0.0,13.212121714554034,15.0,14.85,0.0,0.0,594.6597540679614,0.0,0.0,0.0,0.0,0.0
5,10.0,40.157340179936455,4.85,0.0,17.80640959283948,15.0,14.85,0.0,0.0,602.3601026990468,0.0,0.0,0.0,0.0,0.0
6,10.0,42.37185456842398,4.85,0.0,22.396103183246638,15.0,14.85,0.0,0.0,635.5778185263597,0.0,0.0,0.0,0.0,0.0
7,10.0,39.73540481564621,4.85,0.0,26.98120708006339,15.0,14.85,0.0,0.0,596.0310722346932,0.0,0.0,0.0,0.0,0.0
8,10.0,32.33317816373833,4.85,0.0,31.561725872983324,15.0,14.85,0.0,0.0,484.99767245607495,0.0,0.0,0.0,0.0,0.0
9,10.0,32.02225755015877,4.85,0.0,36.13766414711034,15.0,14.85,0.0,0.0,480.33386325238155,0.0,0.0,0.0,0.0,0.0
10,10.0,39.20595815764955,4.85,0.0,40.70902648296323,15.0,14.85,0.0,0.0,588.0893723647432,0.0,0.0,0.0,0.0,0.0
11,10.0,47.70662989673622,4.85,0.0,45.27581745648027,15.0,14.85,0.0,0.0,715.5994484510433,0.0,0.0,0.0,0.0,0.0
12,10.0,41.90436999924281,4.85,0.0,49.83804163902379,15.0,14.85,0.0,0.0,628.5655499886421,0.0,0.0,0.0,0.0,0.0
13,10.0,58.906041680337275,0.0,7.417831956699598,41.97995943243782,0.0,0.0,2.5821680433004017,0.0,0.0,103.28672173201608,41.727835579734496,0.0,0.5215979447466812,0.0
14,10.0,60.24092139129769,0.0,7.417831956699598,34.12973530805844,0.0,0.0,2.5821680433004017,0.0,0.0,103.28672173201608,41.727835579734496,0.0,0.5215979447466812,0.0
15,10.0,68.83866322648274,0.0,7.417831956699598,26.28736140780344,0.0,0.0,2.5821680433004017,0.0,0.0,103.28672173201608,41.727835579734496,0.0,0.5215979447466812,0.0
16,10.0,74.95637461537714,0.0,7.417831956699598,18.452829881448693,0.0,0.0,2.5821680433004017,0.0,0.0,103.28672173201608,41.727835579734496,0.0,0.5215979447466812,0.0
17,10.0,80.0691343127652,0.0,7.417831956699598,10.6261328866203,0.0,0.0,2.5821680433004017,0.0,0.0,103.28672173201608,41.727835579734496,0.0,0.5215979447466812,0.0
18,10.0,86.20629833909737,0.0,7.417831956699598,2.8072625887867346,0.0,0.0,2.5821680433004017,0.0,0.0,103.28672173201608,41.727835579734496,0.0,0.5215979447466812,0.0
19,10.0,90.2125668472134,0.0,2.6642325598880503,0.0,0.0,0.0,7.335767440111949,0.0,0.0,293.430697604478,118.5460018322091,0.0,1.4818250229026138,0.0
20,10.0,83.50547234250654,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
21,10.0,88.48295244735941,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
