hour,heat_demand_mw,price_eur_per_mwh,p_ch_mw,p_dis_mw,level_mwh,elec_to_heater_mw,heater_heat_mw,boiler_heat_mw,unmet_heat_mw,electricity_cost_eur,fuel_cost_eur,carbon_cost_eur,penalty_cost_eur,emissions_tco2,heat_balance_residual_mw
0,10.0,67.09912723302999,0.0,4.85,1.7898786424459718,0.0,0.0,5.15,0.0,0.0,206.0,83.22400000000002,0.0,1.0403000000000002,0.0
1,10.0,59.33947568354349,0.0,1.6991944410264468,0.0,0.0,0.0,8.300805558973554,0.0,0.0,332.03222235894214,134.14101783301263,0.0,1.6767627229126578,0.0
2,10.0,56.73163712465339,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
3,10.0,48.024500585765196,0.0,-0.0,0.0,10.1010101010101,10.0,0.0,0.0,485.09596551277974,0.0,0.0,0.0,0.0,0.0
4,10.0,39.64398360453076,-0.0,0.0,-0.0,10.1010101010101,10.0,0.0,0.0,400.44427883364403,0.0,0.0,0.0,0.0,0.0
5,10.0,40.157340179936455,0.0,0.0,-0.0,10.1010101010101,10.0,0.0,0.0,405.62969878723686,0.0,0.0,0.0,0.0,0.0
6,10.0,42.37185456842398,0.0,0.0,-0.0,10.1010101010101,10.0,0.0,0.0,427.9985309941816,0.0,0.0,0.0,0.0,0.0
7,10.0,39.73540481564621,0.0,0.0,0.0,10.1010101010101,10.0,0.0,0.0,401.3677254105678,0.0,0.0,0.0,0.0,0.0
8,10.0,32.33317816373833,4.85,0.0,4.607499999999999,15.0,14.85,0.0,0.0,484.99767245607495,0.0,0.0,0.0,0.0,0.0
9,10.0,32.02225755015877,4.85,0.0,9.211774749999998,15.0,14.85,0.0,0.0,480.33386325238155,0.0,0.0,0.0,0.0,0.0
10,10.0,39.20595815764955,4.836439003683411,0.0,13.799943561174238,14.986302023922638,14.836439003683411,0.0,0.0,587.5523300878097,0.0,0.0,0.0,0.0,0.0
11,10.0,47.70662989673622,0.0,4.361830780483702,9.198882779119625,5.695120423753837,5.638169219516298,0.0,0.0,271.69500227336783,0.0,0.0,0.0,0.0,0.0
12,10.0,41.90436999924281,4.85,0.0,13.799943561174238,15.0,14.85,0.0,0.0,628.5655499886421,0.0,0.0,0.0,0.0,0.0
13,10.0,58.906041680337275,0.0,4.85,8.68502044278668,0.0,0.0,5.15,0.0,0.0,206.0,83.22400000000002,0.0,1.0403000000000002,0.0
14,10.0,60.24092139129769,0.0,4.85,3.573677770581993,0.0,0.0,5.15,0.0,0.0,206.0,83.22400000000002,0.0,1.0403000000000002,0.0
15,10.0,68.83866322648274,0.0,3.392617386335456,0.0,0.0,0.0,6.607382613664544,0.0,0.0,264.29530454658175,106.77530303681904,0.0,1.334691287960238,0.0
16,10.0,74.95637461537714,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
17,10.0,80.0691343127652,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
18,10.0,86.20629833909737,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
19,10.0,90.2125668472134,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
20,10.0,83.50547234250654,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
21,10.0,88.48295244735941,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
22,10.0,74.35169616223062,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
23,10.0,74.25755035046511,0.0,-0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
24,10.0,70.98782703582206,0.0,-0.0,-0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
25,10.0,60.470061488804376,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
