hour,heat_demand_mw,price_eur_per_mwh,p_ch_mw,p_dis_mw,level_mwh,elec_to_heater_mw,heater_heat_mw,boiler_heat_mw,unmet_heat_mw,electricity_cost_eur,fuel_cost_eur,carbon_cost_eur,penalty_cost_eur,emissions_tco2,heat_balance_residual_mw
0,10.0,67.09912723302999,0.0,9.10392158698394,17.99149311711826,0.0,0.0,0.8960784130160597,0.0,0.0,35.84313652064239,14.480627154339524,0.0,0.18100783942924406,0.0
1,10.0,59.33947568354349,0.0,8.369329008284485,9.163681615280632,0.0,0.0,1.6306709917155153,0.0,0.0,65.22683966862061,26.35164322612273,0.0,0.3293955403265341,0.0
2,10.0,56.73163712465339,0.0,6.042517604881288,2.7939730864218904,0.0,0.0,3.9574823951187117,0.0,0.0,158.29929580474845,63.95291550511838,0.0,0.7994114438139798,0.0
3,10.0,48.024500585765196,4.85,0.0,7.398679113335468,15.0,14.85,0.0,0.0,720.367508786478,0.0,0.0,0.0,0.0,0.0
4,10.0,39.64398360453076,4.85,0.0,11.99878043422213,15.0,14.85,0.0,0.0,594.6597540679614,0.0,0.0,0.0,0.0,0.0
5,10.0,40.157340179936455,4.85,0.0,16.594281653787906,15.0,14.85,0.0,0.0,602.3601026990468,0.0,0.0,0.0,0.0,0.0
6,10.0,42.37185456842398,4.85,0.0,21.185187372134116,15.0,14.85,0.0,0.0,635.5778185263597,0.0,0.0,0.0,0.0,0.0
7,10.0,39.73540481564621,4.85,0.0,25.77150218476198,15.0,14.85,0.0,0.0,596.0310722346932,0.0,0.0,0.0,0.0,0.0
8,10.0,32.33317816373833,4.85,0.0,30.353230682577216,15.0,14.85,0.0,0.0,484.99767245607495,0.0,0.0,0.0,0.0,0.0
9,10.0,32.02225755015877,4.85,0.0,34.930377451894635,15.0,14.85,0.0,0.0,480.33386325238155,0.0,0.0,0.0,0.0,0.0
10,10.0,39.20595815764955,4.85,0.0,39.502947074442744,15.0,14.85,0.0,0.0,588.0893723647432,0.0,0.0,0.0,0.0,0.0
11,10.0,47.70662989673622,4.85,0.0,44.0709441273683,15.0,14.85,0.0,0.0,715.5994484510433,0.0,0.0,0.0,0.0,0.0
12,10.0,41.90436999924281,4.85,0.0,48.63437318324093,15.0,14.85,0.0,0.0,628.5655499886421,0.0,0.0,0.0,0.0,0.0
13,10.0,58.906041680337275,0.0,9.200722964707662,38.900767268260154,0.0,0.0,0.799277035292338,0.0,0.0,31.97108141169352,12.916316890324179,0.0,0.16145396112905225,0.0
14,10.0,60.24092139129769,0.0,9.199231175682314,29.178465263431562,0.0,0.0,0.8007688243176858,0.0,0.0,32.03075297270743,12.940424200973803,0.0,0.16175530251217254,0.0
15,10.0,68.83866322648274,0.0,9.130668552508785,19.538056742895726,0.0,0.0,0.8693314474912146,0.0,0.0,34.773257899648584,14.048396191458028,0.0,0.17560495239322535,0.0
16,10.0,74.95637461537714,0.0,8.611667707937027,10.453605309377014,0.0,0.0,1.388332292062973,0.0,0.0,55.53329168251892,22.435449839737643,0.0,0.28044312299672053,0.0
17,10.0,80.0691343127652,0.0,6.893001734246809,3.1873604048604696,0.0,0.0,3.106998265753191,0.0,0.0,124.27993063012764,50.20909197457157,0.0,0.6276136496821446,0.0
18,10.0,86.20629833909737,0.0,2.1021555782627526,0.9713776989158696,0.0,0.0,7.897844421737247,0.0,0.0,315.9137768694899,127.62916585527391,0.0,1.5953645731909238,0.0
19,10.0,90.2125668472134,0.0,0.641093865093288,0.29557067375033474,0.0,0.0,9.358906134906713,0.0,0.0,374.3562453962685,151.23992314009246,0.0,1.8904990392511558,0.0
20,10.0,83.50547234250654,0.0,0.19551467924877494,0.08947017755155814,0.0,0.0,9.804485320751224,0.0,0.0,392.179412830049,158.4404827833398,0.0,1.9805060347917474,0.0
21,10.0,88.48295244735941,0.0,0.05962664038752335,0.02661582275556096,0.0,0.0,9.940373359612476,0.0,0.0,397.61493438449907,160.63643349133764,0.0,2.0079554186417203,0.0
22,10.0,74.35169616223062,0.0,0.018184940029462495,0.007447164796529085,0.0,0.0,9.981815059970538,0.0,0.0,399.2726023988215,161.30613136912388,0.0,2.0163266421140484,0.0
23,10.0,74.25755035046511,0.0,0.005546487499281615,0.0016013097377519086,0.0,0.0,9.99445351250072,0.0,0.0,399.77814050002877,161.5103687620116,0.0,2.018879609525145,0.0
24,10.0,70.98782703582206,0.0,0.0015197230066134489,-0.0,0.0,0.0,9.998480276993387,0.0,0.0,399.9392110797355,161.57544127621316,0.0,2.0196930159526643,0.0
25,10.0,60.470061488804376,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,400.0,161.6,0.0,2.02,0.0
26,10.0,49.81202762566794,0.0,0.0,-0.0,10.1010101010101,10.0,0.0,0.0,503.151794198666,0.0,0.0,0.0,0.0,0.0
27,10.0,42.891373118707904,4.85,0.0,4.607499999999999,15.0,14.85,0.0,0.0,643.3705967806186,0.0,0.0,0.0,0.0,0.0
28,10.0,40.03370134199962,4.85,0.0,9.210392499999998,15.0,14.85,0.0,0.0,600.5055201299942,0.0,0.0,0.0,0.0,0.0
29,10.0,39.450340522739275,4.85,0.0,13.808682107499997,15.0,14.85,0.0,0.0,591.7551078410892,0.0,0.0,0.0,0.0,0.0
30,10.0,30.803763425079616,4.85,0.0,18.402373425392497,15.0,14.85,0.0,0.0,462.0564513761942,0.0,0.0,0.0,0.0,0.0
31,10.0,33.95412212564143,4.85,0.0,22.991471051967103,15.0,14.85,0.0,0.0,509.3118318846215,0.0,0.0,0.0,0.0,0.0
32,10.0,35.055729293200905,4.85,0.0,27.575979580915135,15.0,14.85,0.0,0.0,525.8359393980136,0.0,0.0,0.0,0.0,0.0
33,10.0,41.05359282881807,4.85,0.0,32.15590360133422,15.0,14.85,0.0,0.0,615.803892432271,0.0,0.0,0.0,0.0,0.0
34,10.0,43.39562608286801,4.85,0.0,36.73124769773288,15.0,14.85,0.0,0.0,650.9343912430202,0.0,0.0,0.0,0.0,0.0
35,10.0,49.27686354519961,4.85,0.0,41.302016450035154,15.0,14.85,0.0,0.0,739.1529531779942,0.0,0.0,0.0,0.0,0.0
36,10.0,50.26038082534529,0.0,0.0,41.26071443358512,10.1010101010101,10.0,0.0,0.0,507.6806143974271,0.0,0.0,0.0,0.0,0.0
37,10.0,59.351931831536156,0.0,9.199899958531494,31.5353484996447,0.0,0.0,0.8001000414685056,0.0,0.0,32.00400165874022,12.92961667013105,0.0,0.16162020837663812,0.0
38,10.0,70.39035347786967,0.0,9.170660742945275,21.850486053307925,0.0,0.0,0.8293392570547251,0.0,0.0,33.173570282189004,13.402122394004357,0.0,0.16752652992505446,0.0
39,10.0,79.9671557261038,0.0,8.974013687619571,12.382305369760333,0.0,0.0,1.0259863123804287,0.0,0.0,41.03945249521715,16.579938808067727,0.0,0.20724923510084658,0.0
40,10.0,71.38234186914309,0.0,7.490397652247734,4.48529395676138,0.0,0.0,2.509602347752266,0.0,0.0,100.38409391009066,40.55517393967662,0.0,0.5069396742459578,0.0
41,10.0,89.2202539683063,0.0,2.9579208393513388,1.3672077792768942,0.0,0.0,7.042079160648662,0.0,0.0,281.68316642594647,113.79999923608237,0.0,1.4224999904510296,0.0
42,10.0,90.87752277613824,0.0,0.9020761253721477,0.41628675531640935,0.0,0.0,9.097923874627853,0.0,0.0,363.9169549851141,147.0224498139861,0.0,1.8377806226748261,0.0
43,10.0,88.90655700350214,0.0,0.27510629540484577,0.126284894450729,0.0,0.0,9.724893704595154,0.0,0.0,388.99574818380614,157.15428226625767,0.0,1.964428528328221,0.0
44,10.0,85.47042380887322,0.0,0.08389965172387451,0.037843186689041935,0.0,0.0,9.916100348276126,0.0,0.0,396.64401393104504,160.24418162814217,0.0,2.0030522703517772,0.0
