scale_factor,time_s,state_of_charge,power_fraction_of_rated
0.25,0.0,1.0,1.0
0.25,72.0,0.9958806347657776,0.9999999999999991
0.25,144.0,0.9917612695315556,0.9999999999999986
0.25,216.0,0.9876419042973337,0.9999999999999986
0.25,288.0,0.9835225390631117,0.9999999999999979
0.25,360.0,0.9794031738288898,0.9999999999999936
0.25,432.0,0.9752838085946678,0.9999999999999836
0.25,504.0,0.9711644433604457,0.9999999999999608
0.25,576.0,0.9670450781262242,0.9999999999999117
0.25,648.0,0.9629257128920031,0.9999999999998124
0.25,720.0,0.9588063476577826,0.9999999999996184
0.25,792.0,0.9546869824235638,0.9999999999992567
0.25,864.0,0.9505676171893472,0.999999999998608
0.25,936.0,0.9464482519551355,0.9999999999974784
0.25,1008.0,0.942328886720932,0.9999999999955604
0.25,1080.0,0.9382095214867412,0.9999999999923843
0.25,1152.0,0.9340901562525716,0.999999999987235
0.25,1224.0,0.929970791018436,0.9999999999790539
0.25,1296.0,0.9258514257843528,0.9999999999662911
0.25,1368.0,0.9217320605503502,0.9999999999467079
0.25,1440.0,0.9176126953164695,0.9999999999171221
0.25,1512.0,0.9134933300827706,0.9999999998730579
0.25,1584.0,0.9093739648493381,0.9999999998083005
0.25,1656.0,0.9052545996162927,0.9999999997143064
0.25,1728.0,0.9011352343838032,0.9999999995794567
0.25,1800.0,0.8970158691521019,0.9999999993880961
0.25,1872.0,0.8928965039215074,0.9999999991193226
0.25,1944.0,0.8887771386924532,0.99999999874547
0.25,2016.0,0.8846577734655218,0.9999999982302086
0.25,2088.0,0.8805384082414901,0.9999999975262048
0.25,2160.0,0.8764190430213882,0.9999999965722325
0.25,2232.0,0.8722996778065698,0.9999999952896522
0.25,2304.0,0.8681803125988019,0.9999999935781204
0.25,2376.0,0.8640609474003753,0.9999999913104174
0.25,2448.0,0.8599415822142417,0.9999999883262275
0.25,2520.0,0.8558222170441802,0.9999999844246957
0.25,2592.0,0.8517028518950001,0.9999999793555843
0.25,2664.0,0.8475834867727885,0.9999999728088085
0.25,2736.0,0.8434641216852075,0.9999999644020837
0.25,2808.0,0.83934475664185,0.9999999536664724
0.25,2880.0,0.8352253916546687,0.9999999400294677
0.25,2952.0,0.8311060267384807,0.9999999227953608
0.25,3024.0,0.8269866619115716,0.9999999011224701
0.25,3096.0,0.8228672971964022,0.9999998739968965
0.25,3168.0,0.818747932620445,0.9999998402023577
0.25,3240.0,0.8146285682171581,0.9999997982856554
0.25,3312.0,0.810509204027124,0.999999746517291
0.25,3384.0,0.8063898400993724,0.9999996828466926
0.25,3456.0,0.8022704764929114,0.9999996048515115
0.25,3528.0,0.7981511132784949,0.9999995096803829
0.25,3600.0,0.7940317505406557,0.9999993939885058
0.25,3672.0,0.7899123883800344,0.9999992538654211
0.25,3744.0,0.785793026916044,0.9999990847542348
0.25,3816.0,0.7816736662899021,0.9999988813615935
0.25,3888.0,0.7775543066680778,0.9999986375576355
0.25,3960.0,0.7734349482461936,0.9999983462651321
0.25,4032.0,0.7693155912534331,0.999997999336999
0.25,4104.0,0.7651962359575036,0.9999975874213453
0.25,4176.0,0.7610768826702102,0.9999970998131976
0.25,4248.0,0.756957531753699,0.9999965242920325
0.25,4320.0,0.7528381836274304,0.9999958469442233
0.25,4392.0,0.7487188387759531,0.9999950519695281
0.25,4464.0,0.7445994977575402,0.9999941214707064
0.25,4536.0,0.7404801612137684,0.9999930352253983
0.25,4608.0,0.7363608298801122,0.99999177043939
0.25,4680.0,0.7322415045976346,0.9999903014803818
0.25,4752.0,0.7281221863258592,0.999988599591468
0.25,4824.0,0.7240028761569081,0.9999866325834909
0.25,4896.0,0.7198835753309983,0.9999843645055214
0.25,4968.0,0.7157642852533892,0.9999817552927446
0.25,5040.0,0.7116450075128737,0.9999787603910981
0.25,5112.0,0.707525743901917,0.9999753303580445
0.25,5184.0,0.7034064964385387,0.9999714104389582
